Date Time;Abgedeckte Bedarf der aFRR+;Abgedeckte Bedarf der aFRR-;NRV+ (Import);NRV- (Export);Abgedeckte Bedarf der SA mFRR+;Abgedeckte Bedarf der SA mFRR-;Abgedeckte Bedarf der DA mFRR+;Abgedeckte Bedarf der DA mFRR-;Abgedeckte Bedarf der RR+;Abgedeckte Bedarf der RR-;FRCE+ (Import);FRCE- (Export);Total System Imbalance (Positiv = long / Negativ = short);AE-Preis long;AE-Preis short;AE-Preis per 2026
01.01.2025 00:00;73.28993111;-0.117458889;13.95268444;-0.983004444;177;0;0;0;30;0;13.68600111;-8.231585556;-298.5965678;3.08;32.98;29.48
01.01.2025 00:15;114.7212667;0;9.956801111;0;177;0;0;0;30;0;9.912106667;-12.02312;-329.5670544;8.75;62.12;55.98
01.01.2025 00:30;65.16696556;0;21.59620889;0;83;0;0;0;30;0;7.694811111;-8.659427778;-198.7985578;8.75;29.16;26.01
01.01.2025 00:45;28.05460444;-0.278183333;7.496333333;-7.985104444;142;0;0;0;30;0;11.68758111;-10.50318111;-200.47205;0.2;23.46;20.83
01.01.2025 01:00;90.40228444;0;67.34261667;-1.121544444;155;0;0;0;30;0;13.06476333;-11.53243444;-343.1556856;8.39;36.21;32.42
01.01.2025 01:15;34.55256222;-0.27493;97.85962889;0;155;0;0;0;30;0;7.365222222;-10.56072333;-313.94176;7.97;24.25;21.54
01.01.2025 01:30;66.45576;-0.05656;31.60363667;-0.009791111;180;0;0;0;30;0;10.66159889;-8.460804444;-310.19384;3.45;26.35;23.45
01.01.2025 01:45;22.23063778;-0.611842222;13.00933556;-5.421968889;219;0;0;0;30;0;7.407737778;-9.119185556;-276.4947144;-1.01;22.67;20.11
01.01.2025 02:00;61.56536111;0;14.30635778;-1.195204444;289;0;0;0;0;0;12.32396667;-10.66592444;-365.3345567;6.08;29.61;26.42
01.01.2025 02:15;11.48017333;-1.114493333;2.471226667;-18.43550444;289;0;0;0;0;0;6.510671111;-7.165726667;-282.7463467;1.9;22.94;20.35
01.01.2025 02:30;2.861724444;-4.514022222;0.751791111;-29.92577778;289;0;0;0;0;0;5.096302222;-6.508572222;-256.7614456;-4.85;19.29;17.04
01.01.2025 02:45;0;-34.00755556;0;-49.67402778;289;0;0;0;0;0;7.762065556;-11.35197667;-201.7285056;-34.54;18.2;16.05
01.01.2025 03:00;10.93178778;-1.589211111;0.684128889;-4.669592222;289;0;0;0;0;0;8.395118889;-4.962034444;-297.7901978;-7.04;22.95;20.37
01.01.2025 03:15;35.81298111;-0.057642222;8.093672222;-1.001773333;199;0;0;0;0;0;8.298064444;-7.217656667;-242.9276456;1.9;23.58;20.94
01.01.2025 03:30;8.858632222;-0.781776667;8.090563333;-6.523775556;199;0;0;0;0;0;5.33067;-5.068316667;-208.9059967;1.73;20.83;18.43
01.01.2025 03:45;0.531151111;-17.92492667;2.863843333;-10.06673556;199;0;0;0;0;0;4.77862;-9.283632222;-169.89832;-35.45;17.94;15.81
01.01.2025 04:00;0.011122222;-30.71832333;0;-60.25437556;277;0;0;0;12;0;8.967057778;-8.020263333;-198.9852178;-28.65;18.17;16.02
01.01.2025 04:15;0;-25.13834667;0;-79.41369222;277;0;0;0;12;0;7.07334;-7.04968;-184.4716211;-22.28;18.15;16
01.01.2025 04:30;0.44216;-13.0371;0;-58.85307778;237;0;0;0;12;0;5.529502222;-5.449798889;-177.6316856;-16.78;18;15.86
01.01.2025 04:45;0.067407778;-13.99831556;0;-28.49126778;197;0;0;0;12;0;6.300723333;-4.888427778;-167.99012;-14.77;17.82;15.7
01.01.2025 05:00;0.336898889;-7.553562222;0.197471111;-23.60038667;200;0;0;0;0;0;7.252126667;-4.202711111;-172.4298367;-17.49;18.1;15.95
01.01.2025 05:15;1.91609;-3.508563333;0.075902222;-20.82674889;200;0;0;0;0;0;4.151488889;-5.753343333;-176.0548256;-9.34;18.1;15.95
01.01.2025 05:30;7.124427778;-0.889075556;0.169188889;-10.30641333;200;0;0;0;0;0;6.594467778;-4.356021111;-198.3365744;-3.36;20.79;18.4
01.01.2025 05:45;25.14961889;0;4.003621111;-0.773532222;200;0;0;0;0;0;6.953931111;-5.682812222;-229.6508267;4.86;23.14;20.54
01.01.2025 06:00;81.18367111;0;18.52959333;-0.052586667;60;0;0;0;0;0;11.85762556;-6.040041111;-165.4782622;5.72;27.87;24.84
01.01.2025 06:15;68.36845667;-0.036757778;4.900712222;-0.643176667;120;0;0;0;0;0;6.344121111;-14.27728667;-184.6560689;1.95;26.18;23.3
01.01.2025 06:30;3.35746;-1.123564444;0.078328889;-24.72627111;200;0;0;0;0;0;7.608797778;-6.548141111;-178.64661;1.51;21.3;18.87
01.01.2025 06:45;1.954742222;-1.306406667;0.004568889;-53.05039667;250;0;0;0;0;0;7.041861111;-7.039658889;-197.60471;0.9;21.51;19.05
