"","Handybetriebssystem","Bildschimzeit_in_Minuten","Shoppingverhalten","Lieblingsfach","Sport_in_Stunden","Kleidergroesse"
"1","iOS",180,"online","Religion",1,"M"
"2","iOS",330,"offline","Wirtschaft & Recht",7.5,"M"
"3","iOS",240,"offline","Physical Education",14,"M"
"4","Android",120,"offline","Philosophie",3,"M"
"5","iOS",240,"offline","BG",10,"M"
"6","iOS",130,"offline","Wirtschaft und Recht",2,"XS"
"7","iOS",390,"offline","Mathe, Statistik, alle fächer die ich bei frau mühlemann gehabt hätte",8,"M"
"8","Android",170,"online","Musik",2,"L"
"9","iOS",240,"offline","Sport",10,"M"
"10","iOS",480,"offline","Englisch",2,"M"
"11","Android",75,"offline","Mathematik",6,"XL"
"12","iOS",160,"online","Sport",14,"M"
"13","iOS",180,"online","Mathematik",8,"L"
"14","iOS",180,"offline","Musik",3,"M"
"15","iOS",180,"offline","Politikwissenschaft",2,"S"
"16","iOS",360,"online","Mathematik",12,"M"
"17","iOS",270,"online","Geschichte",2,"M"
"18","iOS",300,"online","Englisch",1,"M"
"19","iOS",270,"offline","Geschichte",4,"M"
"20","iOS",300,"offline","BG",14,"M"
"21","iOS",300,"online","Sport",7,"M"
"22","iOS",4.5,"online","Chemie",3,"M"
"23","iOS",180,"offline","Englisch",3,"M"
"24","iOS",180,"online","*Passerelle: Physik",6,"L"
"25","iOS",180,"offline","WR",10,"L"
"26","iOS",360,"offline","Wirtschaft und Recht",2,"M"
"27","iOS",400,"online","Englisch",4,"S"
"28","iOS",240,"offline","Geschichte",15,"L"
"29","iOS",360,"online","Mathematik",10,"XS"
"30","iOS",180,"online","Philosophie",2,"S"
"31","iOS",150,"offline","Geschichte",2,"L"
"32","iOS",340,"online","Sport",6.5,"S"
"33","iOS",360,"offline","Sport",6,"L"
"34","iOS",140,"offline","Musik",4,"S"
"35","iOS",275,"offline","Sport",7,"M"
"36","iOS",270,"offline","Sport",5,"S"
"37","iOS",200,"online","WIRE",6,"L"
"38","iOS",395,"online","Geschichte",6,"M"
"39","iOS",240,"online","Wirtschaft",4,"L"
"40","iOS",480,"offline","Physik",3,"L"
"41","iOS",420,"online","Biologie",0,"M"
"42","iOS",300,"online","Mathematik",5,"S"
"43","iOS",240,"online","Englisch",2,"S"
"44","iOS",330,"online","Sport",12,"L"
"45","Android",180,"online","Psychologie und Pädagogik",4,"M"
"46","iOS",190,"offline","Sport",1,"M"
"47","Android",2,"online","Bg",6,"S"
"48","iOS",300,"offline","Mathematik 
Wirtschaft",2,"S"
"49","iOS",300,"online","Deutsch",2,"M"
"50","iOS",240,"online","Deutsch",8,"L"
"51","iOS",3,"offline","Wirtschaft + Recht",8,"S"
"52","iOS",250,"online","Englisch",4.5,"XL"
"53","iOS",80,"online","Englisch",5,"S"
"54","iOS",180,"offline","Bildnerisches Gestalten",1,"XS"
"55","iOS",300,"offline","bwl",6,"S"
"56","iOS",330,"online","Sport",6,"S"
"57","iOS",240,"offline","Englisch",5,"XS"
"58","Android",150,"offline","Sport",7,"S"
"59","Android",480,"online","Physik",5,"XL"
"60","iOS",360,"online","Spanisch",0,"S"
"61","iOS",300,"online","Englisch",1,"M"
"62","iOS",180,"online","Wr",5,"S"
"63","iOS",360,"offline","Englisch",6,"M"
"64","iOS",356,"offline","Geschichte",0,"M"
"65","iOS",300,"online","Geschichte",14,"M"
"66","iOS",180,"offline","BG",1,"S"
"67","Android",240,"offline","Mathematik",6,"L"
"68","iOS",480,"online","Sport",0,"M"
"69","iOS",180,"offline","Sport",10,"M"
"70","iOS",336,"online","English",2,"S"
"71","iOS",120,"online","Sport",10,"L"
"72","iOS",180,"offline","Wirtschaft und Recht",15,"L"
"73","iOS",200,"offline","Deutsch",3,"S"
"74","iOS",380,"offline","Englisch",0,"M"
"75","iOS",180,"online","Sport",15,"M"
"76","iOS",120,"offline","Psychologie",6,"S"
"77","Android",150,"offline","Englisch",0,"M"
"78","iOS",82,"offline","Math",2,"S"
"79","Android",300,"offline","Sport",3,"S"
"80","iOS",5,"online","Sport",12,"L"
"81","Android",200,"online","Sport",12,"M"
"82","iOS",180,"offline","Geschichte",2,"XL"
"83","Android",200,"offline","Englisch",3,"M"
"84","iOS",300,"online","Geschichte",17,"S"
"85","iOS",2.25,"offline","Wirtschaft",7,"S"
"86","Android",240,"online","sport",3,"L"
"87","Android",300,"online","Chemie",3,"L"
"88","iOS",240,"online","Sport",5,"M"
"89","iOS",180,"online","Sport",10,"M"
"90","iOS",375,"offline","WR",3,"S"
"91","iOS",3,"online","math",3,"S"
"92","iOS",240,"online","Geografie",4,"M"
"93","iOS",180,"online","Geschichte",2,"M"
"94","iOS",180,"online","Mathematik",2,"S"
"95","iOS",300,"online","Wirtschaft und Recht",5,"S"
"96","Android",280,"online","sport",7,"S"
"97","iOS",360,"online","Chemie",17,"XL"
"98","Android",360,"offline","Bildnerisches Gestalten",3,"M"
"99","Android",360,"online","Wirtschaft",4,"XL"
"100","iOS",90,"offline","Biologie",5,"M"
"101","iOS",540,"online","Englisch",2,"S"
"102","iOS",260,"offline","Wirtschaft",2,"M"
"103","iOS",360,"offline","Bildnerisches Gestalten",3,"M"
"104","iOS",94,"offline","Musik",2,"S"
"105","iOS",350,"online","Englisch",6,"L"
"106","iOS",200,"online","Sport und Musik",8,"S"
"107","iOS",300,"offline","Sport",10,"L"
"108","iOS",300,"offline","Mathematik",2.5,"S"
"109","Android",240,"offline","Geschichte",7,"L"
"110","iOS",3,"offline","Geschichte",1,"S"
"111","Android",150,"online","Deutsch",3,"S"
"112","iOS",360,"offline","Sport",7,"M"
"113","iOS",180,"online","Sport",4,"S"
"114","iOS",240,"offline","Bildnerisches Gestalten",4,"M"
"115","iOS",420,"online","Math",4.5,"S"
"116","iOS",240,"online","Italienisch",2,"S"
"117","iOS",240,"online","Geschichte",4.5,"S"
"118","iOS",300,"online","Sport",6,"S"
"119","iOS",300,"offline","Englisch",5,"S"
"120","iOS",180,"offline","Sport",3,"XS"
"121","iOS",240,"online","Geschichte",0,"L"
"122","iOS",240,"online","Englisch",10,"M"
"123","iOS",150,"offline","Geschichte, Wirtschaft und Recht",3,"XL"
"124","iOS",300,"online","Geschichte",2,"L"
