YEAR;Riga;Bolderaja;Parnu;Tallinn;Narva;St_Petersburg;Kronstadt;Porvoo;Turku;Pori
1600;;;;120;;;;;;
1601;113;;;143;;;;;;
1602;93;;;117;;;;;;
1603;;;;103;;;;;;
1604;;;;122;;;;;;
1605;;;;117;;;;;;
1606;;;;124;;;;;;
1607;;;;109;;;;;;
1608;;;;123;;;;;;
1609;92;;;113;;;;;;
1610;;;;111;;;;;;
1611;;;;115;;;;;;
1612;101;;;136;;;;;;
1613;;;;101;;;;;;
1614;;;;102;;;;;;
1615;99;;;98;;;;;;
1616;103;;;135;;;;;;
1617;78;;;;;;;;;
1618;89;;;105;;;;;;
1619;113;;;130;;;;;;
1620;;;;97;;;;;;
1621;105;;;134;;;;;;
1622;106;;;125;;;;;;
1623;96;;;109;;;;;;
1624;;;;129;;;;;;
1625;;;;122;;;;;;
1626;102;;;106;;;;;;
1627;;;;137;;;;;;
1628;;;;117;;;;;;
1629;;;;116;;;;;;
1630;;;;110;;;;;;
1631;;;;108;;;;;;
1632;;;;105;;;;;;
1633;;;;101;;;;;;
1634;;;;81;;;;;;
1635;;;;115;;;;;;
1636;;;;108;;;;;;
1637;;;;138;;;;;;
1638;;;;118;;;;;;
1639;;;;95;;;;;;
1640;;;;129;;;;;;
1641;;;;96;;;;;;
1642;;;;101;;;;;;
1643;121;;;114;;;;;;
1644;;;;128;;;;;;
1645;;;;109;;;;;;
1646;;;;110;;;;;;
1647;;;;110;;;;;;
1648;;;;119;;;;;;
1649;103;;;127;;;;;;
1650;89;;;119;;;;;;
1651;98;;;;;;;;;
1652;35;;;103;;;;;;
1653;36;;;112;;;;;;
1654;;;;;;;;;;
1655;;;;100;;;;;;
1656;;;;111;;;;;;
1657;;;;102;;;;;;
1658;;;;130;;;;;;
1659;124;;;90;;;;;;
1660;;;;114;;;;;;
1661;;;;88;;;;;;
1662;51;;;;;;;;;
1663;;;;100;;;;;;
1664;;;;121;;;;;;
1665;;;;107;;;;;;
1666;;;;98;;;;;;
1667;110;;;124;;;;;;
1668;;;;;;;;;;
1669;;;;127;;;;;;
1670;;;;120;;;;;;
1671;;;;128;;;;;;
1672;;;;116;;;;;;
1673;;;;108;;;;;;
1674;;;;145;;;;;;
1675;;;;116;;;;;;
1676;;;;91;;;;;;
1677;;;;114;;;;;;
1678;;;;119;;;;;;
1679;;;;108;;;;;;
1680;;;;104;;;;;;
1681;;;;83;;;;;;
1682;;;;111;;;;;;
1683;;;;;;;;;;
1684;;;;113;;;;;;
1685;;;;133;;;;;;
1686;;;;113;;;;;;
1687;90;;;102;;;;;;
1688;;;;95;;;;;;
1689;109;;;109;;;;;;
1690;;;;70;;;;;;
1691;;;;124;;;;;;
1692;101;;;121;;;;;;
1693;;;;84;;;;;;
1694;;;;104;;;;;;
1695;;;;122;;;;;;
1696;;;;100;;;;;;
1697;;;;120;;;;;;
1698;;;;80;;;;;;
1699;;;;102;;;;;;
1700;;;;106;;;;;;
1701;;;;105;;;;;;
1702;;;;74;;;;;;
1703;;;;109;;;;;;
1704;;;;110;;;;;;
1705;;;;87;;;;;;
1706;;;;117;;105;;;;
1707;;;;104;;102;;;;
1708;;;;124;;115;;;;
1709;108;;;127;;115;;;;
1710;107;;;120;;114;;;;
1711;97;;;112;;109;;;;
1712;115;;;67;;110;;;;
1713;74;;;59;;105;;;;
1714;99;;;79;;121;;;;
1715;93;;;108;;103;;;;
1716;113;;;114;;120;;;;
1717;102;;;113;;111;;;;
1718;92;;;111;;;;;;
1719;102;;;128;;120;;;;
1720;105;;;111;;;;;;
1721;100;;;121;;111;;;;
